t,x,y,v
0.000,-6.939E-18,0.366,
0.008,6.165E-6,0.365,1.511E-2
0.017,2.066E-4,0.365,1.581E-3
0.025,1.912E-5,0.365,1.236E-2
0.033,1.720E-6,0.365,5.823E-2
0.042,9.789E-4,0.365,4.347E-2
0.050,2.374E-4,0.365,4.283E-2
0.058,6.496E-4,0.365,3.584E-2
0.067,8.313E-4,0.365,5.949E-3
0.075,7.344E-4,0.365,5.208E-2
0.083,1.682E-3,0.364,8.104E-2
0.092,2.080E-3,0.365,0.254
0.100,5.390E-3,0.362,0.587
0.108,1.043E-2,0.360,0.300
0.117,9.425E-3,0.359,1.763E-2
0.125,1.032E-2,0.359,0.423
0.133,1.608E-2,0.357,0.568
0.142,1.936E-2,0.356,0.294
0.150,2.069E-2,0.356,0.252
0.158,2.344E-2,0.355,0.302
0.167,2.545E-2,0.354,0.345
0.175,2.851E-2,0.353,0.416
0.183,3.189E-2,0.351,0.402
0.192,3.471E-2,0.350,0.419
0.200,3.850E-2,0.349,0.485
0.208,4.239E-2,0.348,0.507
0.217,4.639E-2,0.346,0.508
0.225,5.030E-2,0.345,0.496
0.233,5.418E-2,0.343,0.537
0.242,5.870E-2,0.342,0.485
0.250,6.172E-2,0.340,0.570
0.258,6.768E-2,0.338,0.507
0.267,6.964E-2,0.337,0.444
0.275,7.458E-2,0.336,0.756
0.283,8.164E-2,0.334,0.745
0.292,8.636E-2,0.332,0.622
0.300,9.129E-2,0.330,0.662
0.308,9.672E-2,0.328,0.661
0.317,0.102,0.326,0.744
0.325,0.109,0.325,0.804
0.333,0.114,0.322,0.755
0.342,0.120,0.320,0.809
0.350,0.128,0.319,0.770
0.358,0.133,0.317,0.762
0.367,0.140,0.316,0.759
0.375,0.145,0.315,0.755
0.383,0.152,0.313,0.843
0.392,0.159,0.312,0.876
0.400,0.167,0.311,0.905
0.408,0.174,0.310,0.865
0.417,0.181,0.310,0.814
0.425,0.188,0.309,0.825
0.433,0.195,0.309,0.880
0.442,0.202,0.309,0.830
0.450,0.209,0.309,0.918
0.458,0.217,0.305,0.926
0.467,0.223,0.303,0.860
0.475,0.231,0.309,0.974
0.483,0.238,0.310,0.879
0.492,0.245,0.311,0.841
0.500,0.252,0.311,0.796
0.508,0.258,0.311,0.811
0.517,0.265,0.313,0.876
0.525,0.272,0.315,0.794
0.533,0.278,0.316,0.705
0.542,0.284,0.317,0.696
0.550,0.290,0.317,0.794
0.558,0.297,0.319,0.831
0.567,0.303,0.320,0.704
0.575,0.309,0.320,0.737
0.583,0.316,0.322,0.784
0.592,0.321,0.323,0.708
0.600,0.327,0.324,0.716
0.608,0.333,0.325,0.681
0.617,0.338,0.326,0.710
0.625,0.345,0.327,0.645
0.633,0.349,0.325,0.644
0.642,0.355,0.326,0.702
0.650,0.360,0.329,0.555
0.658,0.364,0.324,0.584
0.667,0.370,0.329,0.806
0.675,0.376,0.330,0.782
0.683,0.383,0.330,0.544
0.692,0.386,0.330,0.380
0.700,0.389,0.331,0.552
0.708,0.395,0.331,0.913
0.717,0.404,0.330,0.841
0.725,0.409,0.329,0.556
0.733,0.414,0.329,0.678
0.742,0.420,0.327,0.465
0.750,0.421,0.327,0.455
0.758,0.427,0.327,0.689
0.767,0.433,0.325,0.626
0.775,0.437,0.324,0.646
0.783,0.443,0.323,0.702
0.792,0.449,0.321,0.733
0.800,0.455,0.319,0.812
0.808,0.461,0.317,0.807
0.817,0.468,0.315,0.678
0.825,0.472,0.314,0.710
0.833,0.479,0.313,0.795
0.842,0.485,0.311,0.777
0.850,0.491,0.308,0.829
0.858,0.498,0.305,0.866
0.867,0.505,0.303,0.871
0.875,0.512,0.301,0.885
0.883,0.518,0.297,0.896
0.892,0.525,0.295,0.961
0.900,0.532,0.290,0.991
0.908,0.540,0.287,0.972
0.917,0.547,0.283,0.988
0.925,0.555,0.280,1.022
0.933,0.563,0.278,1.021
0.942,0.571,0.275,1.076
0.950,0.580,0.271,1.138
0.958,0.588,0.266,1.095
0.967,0.597,0.265,1.145
0.975,0.606,0.261,1.162
0.983,0.614,0.255,1.187
0.992,0.624,0.253,1.230
1.000,0.633,0.248,1.197
1.008,0.643,0.247,1.240
1.017,0.653,0.243,1.274
1.025,0.663,0.240,1.264
1.033,0.673,0.236,1.281
1.042,0.684,0.233,1.302
1.050,0.694,0.229,1.317
1.058,0.704,0.226,1.340
1.067,0.715,0.223,1.352
1.075,0.726,0.220,1.369
1.083,0.737,0.217,1.395
1.092,0.748,0.213,1.417
1.100,0.760,0.210,1.421
1.108,0.771,0.207,1.423
1.117,0.783,0.204,1.458
1.125,0.795,0.202,1.494
1.133,0.807,0.198,1.465
1.142,0.818,0.195,1.474
1.150,0.830,0.191,1.515
1.158,0.843,0.189,1.512
1.167,0.855,0.186,1.523
1.175,0.868,0.183,1.552
1.183,0.880,0.180,1.560
1.192,0.893,0.177,1.565
1.200,0.906,0.176,1.564
1.208,0.919,0.175,1.565
1.217,0.932,0.174,1.582
1.225,0.945,0.172,1.598
1.233,0.958,0.170,1.610
1.242,0.972,0.174,1.619
1.250,0.985,0.174,1.533
1.258,0.997,0.173,1.520
1.267,1.010,0.174,1.544
1.275,1.023,0.176,1.549
1.283,1.036,0.175,1.545
1.292,1.048,0.180,1.538
1.300,1.061,0.183,1.496
1.308,1.073,0.184,1.512
1.317,1.086,0.186,1.503
1.325,1.098,0.188,1.472
1.333,1.110,0.189,1.467
1.342,1.122,0.190,1.435
1.350,1.134,0.191,1.424
1.358,1.146,0.192,1.454
1.367,1.158,0.192,1.434
1.375,1.169,0.188,1.462
1.383,1.182,0.192,1.511
1.392,1.194,0.192,1.439
1.400,1.206,0.189,1.461
1.408,1.218,0.186,1.488
1.417,1.230,0.183,1.509
1.425,1.242,0.179,1.532
1.433,1.254,0.175,1.544
1.442,1.267,0.171,1.562
1.450,1.279,0.166,1.612
1.458,1.292,0.161,1.657
1.467,1.304,0.155,1.667
